,AccX_mcr,AccX_std,AccX_max,AccX_min,AccX_mcr,AccX_peak,AccX_rms,AccX_grad,AccX_grad_1000,AccY_mcr,AccY_std,AccY_max,AccY_min,AccY_mcr,AccY_peak,AccY_rms,AccY_grad,AccY_grad_1000,AccZ_mcr,AccZ_std,AccZ_max,AccZ_min,AccZ_mcr,AccZ_peak,AccZ_rms,AccZ_grad,AccZ_grad_1000,GyrX_mcr,GyrX_std,GyrX_max,GyrX_min,GyrX_mcr,GyrX_peak,GyrX_rms,GyrX_grad,GyrX_grad_1000,GyrY_mcr,GyrY_std,GyrY_max,GyrY_min,GyrY_mcr,GyrY_peak,GyrY_rms,GyrY_grad,GyrY_grad_1000,GyrZ_mcr,GyrZ_std,GyrZ_max,GyrZ_min,GyrZ_mcr,GyrZ_peak,GyrZ_rms,GyrZ_grad,GyrZ_grad_1000
pca_var_1,0.18487321443613317,0.1493130946927964,0.020328234946437207,-0.06667372300343732,0.18487321443613305,-0.033141702210083196,0.033448494338820994,-0.010191524820309356,0.1881286734577363,0.1876229862261673,0.1700481597887652,0.07954254200212657,-0.0514323608248912,0.18762298622616727,-0.033251534308157894,0.041630160435782694,0.09114910356669867,0.19342027732074463,0.1845449385324903,0.184526362654227,0.028819298921404137,-0.11929791731886148,0.18454493853249032,-0.03150819252164841,0.038527691472949106,-0.11684959607808089,0.1994199550919528,0.19746226724675509,0.20395314720525315,0.1399414166446933,-0.16023463269274657,0.1974622672467551,-0.06477194219098216,0.06022411473443879,0.03363010356158254,0.20259637138900569,0.17903786281456902,0.14760128562147867,0.11656644034417532,-0.13515201313934003,0.17903786281456902,-0.06414003775633263,0.047722528290866435,-0.0051386409412018325,0.1598402382072144,0.1925802308477439,0.19008958698678785,0.1050370672946242,-0.10284794657284482,0.19258023084774392,-0.05898514894908314,0.04257491495475828,-0.008227515604432226,0.18700004175564527
pca_var_2,-0.07962943978490192,0.08928308021618782,-0.0024069198628710042,-0.006752912374291764,-0.07962943978490189,-0.16761989683399098,0.30135550443778936,0.05082686619823896,0.04718151121462729,-0.12971252743525855,-0.027512187595645943,0.1752816727850872,0.22819067942814752,-0.12971252743525855,-0.0045482196888022314,0.233200504621291,-0.10249355243812655,-0.061038736894612866,-0.10586511289084478,0.02397181268901284,0.31777289553914845,0.2668983518667891,-0.10586511289084481,-0.1907656820760086,0.25810061990715466,0.08827916044746294,-0.04042806351422482,-0.08428264256290637,0.006035658653753945,0.01750975936636432,0.06800448419026785,-0.08428264256290638,-0.21192118774598484,0.09590150087452892,-0.037385029682832534,-0.03148545102760089,0.07293802844697721,0.1807412003047838,0.18405530905497197,-0.05152151318044951,0.07293802844697722,-0.25686457849661126,0.22454011904118215,0.007111226577749065,0.1519491553985934,-0.03894121003169218,0.06065062493410915,0.12056439352600828,0.11139194298949992,-0.03894121003169219,-0.06295700371667004,0.17138346475266114,0.004710395568952283,0.0063026419592964
pca_var_3,0.11303093017279925,-0.08999527158038152,0.07023780604785534,0.06592852215405293,0.11303093017279897,0.26628582335860435,0.10849221623112965,-0.10971200675891428,-0.0013772770138182466,0.08694761855515436,0.036401512883840144,0.33771022239868276,0.3319882846161703,0.08694761855515432,0.2986148230483587,0.32353157089466733,0.07839759060410222,0.043107777461996885,0.07006934509158542,-0.02041579803793609,0.08507371647118164,0.06526365744938706,0.07006934509158548,0.19359316651371955,0.21208396253995926,-0.1109842543199408,0.028797978587545865,0.047947493208559365,-0.024228027308192526,0.023978679413836336,0.014462983432824802,0.047947493208559344,0.20204876944195482,0.012184134589966507,0.0548969608426219,-0.0019639866572342393,-0.09507856396830758,-0.1424382348450565,-0.07091299350931432,0.12947681024014526,-0.09507856396830758,0.24008585159385057,0.021679202660763376,0.04456547736176599,-0.1280561440448574,0.029972049926306095,-0.05837899493694862,0.10936398811013667,0.11565218345900313,0.029972049926306085,0.27264181847039987,0.09341059368699405,0.04610619785131139,-0.010731226630984038
pca_var_4,-0.012045580353780271,0.048648840643057835,0.495793439558221,0.45925870364775817,-0.012045580353780286,-0.2249427038927589,0.02418906094882918,0.003700507807532824,0.011271478381185362,0.047653157182325545,0.1268890930266633,0.06281627471537055,-0.0021544308866219553,0.04765315718232584,-0.25795801682780956,0.048955903699163576,0.16105289119955968,0.05807836206981755,0.027159894088751982,0.05648266998554307,0.013571406402346093,-0.013255859369544076,0.02715989408875198,-0.16886708760941788,0.053074111018008144,0.0023384364001551496,0.04673772086199085,0.03099678337141228,-0.011019177174652334,-0.13987183095577574,-0.1468506709670593,0.030996783371412293,-0.08914178072292006,-0.058777581683162994,-0.01671027289480975,0.021013543051880485,-0.09806338090031919,-0.15491631846349682,-0.23398737825444493,-0.02348493084200838,-0.09806338090031913,-0.01214109698801346,-0.08142987378022237,0.004119321596071937,-0.13078964389365955,-0.03441402372354343,-0.05392895168402897,0.12757582237828638,0.17438449341500725,-0.03441402372354346,-0.22085758160809704,-0.003712957686388117,0.21659100298908962,-0.050019582561854604
pca_var_5,-0.1406536194506405,0.05345722903667481,0.2153489583470039,0.23088999652069858,-0.14065361945064042,0.16384698177538892,-0.042118843615965074,0.037012502214117116,0.02094202335421258,-0.07850836669477523,-0.05550526607902628,-0.009647396218483373,0.03048460863654072,-0.07850836669477526,0.1212450121202002,-0.061627576351564683,-0.12131673309281034,-0.06220042214370342,0.01276726136583592,0.08256271049394878,-0.12201732117764517,-0.14942313551613975,0.01276726136583599,0.1882247895708265,-0.21341867099270528,-0.16694216376550303,0.07242402218771068,-0.05570879070577538,0.010359656399753055,0.05686016696913194,0.06322034891242183,-0.0557087907057754,0.130536561570096,-0.1454999875706411,-0.1898323326398326,0.0006675659924154702,0.20799974340523295,0.24748392875134467,0.058424927490510786,-0.296879002810199,0.20799974340523292,0.07711126181522371,-0.028939462709960354,0.02471590168536237,0.25488010831623886,-0.09476279998498721,-0.017137909976949053,0.23360145893802162,0.32285482010164746,-0.09476279998498721,0.1355651234766214,0.09712070530069218,-0.01987498622323473,-0.10371778934680768
pca_var_6,0.09926322293722095,0.02665987416961566,0.1502091781525936,0.11275662099646845,0.09926322293722119,-0.032171070246979516,0.10676075496972051,0.18201579821778432,0.08086493132319461,-0.020172605264527743,-0.14054435047185876,-0.2439797122649437,-0.1799700284220339,-0.020172605264527854,0.14984627170331924,-0.21092344615975678,-0.09575762080720507,-0.06851677631871893,-0.029109208120390657,-0.0006360122498420143,0.3038188000151763,0.26572551905131214,-0.02910920812039066,0.3081215820767472,0.2645383609298603,-0.06680889254997348,-0.03951449653957098,-0.01708834925586853,-0.03600410943912721,-0.2507621869049483,-0.17147237803632678,-0.01708834925586853,0.290369095072718,-0.14462371166930518,0.12804349314248614,-0.04399635447657445,0.00992816856444166,0.07255107086785416,0.07407588264494012,0.0026801686774904827,0.0099281685644417,0.15525982704590185,0.0394667115458714,0.05847159561650722,0.041368803691414796,0.087171974984649,0.09713456385371368,0.05145721507687378,-0.06356501673828055,0.08717197498464907,-0.1852461636234323,-0.1527845297669898,-0.050495634416293636,0.11115494565031774
pca_var_7,-0.02395053624093375,-0.28453064837834546,0.17411773039835154,0.24232793853637735,-0.02395053624093409,0.14959765726909396,-0.0591150379606067,0.2040411024637424,-0.15704158627769743,0.09303449202242615,-0.162483895649338,-0.1556740520627638,-0.14215937277561086,0.09303449202242631,0.06236173020082206,-0.018655542158053706,-0.23289946226076164,-0.0022039762157943232,0.09929039109319741,-0.14192210775245306,0.0695836844490828,0.060758110165085234,0.09929039109319741,-0.04652221983736824,0.08177293344661987,0.20250909338506173,0.0049502967876080195,0.11772859022674537,0.044686061390035385,0.1265943944648828,-0.05865715308347744,0.11772859022674538,-0.004167320612649289,0.3755947062466875,-0.014154515665236683,0.07829960028540117,0.0884724557853596,-0.042047201653253256,-0.03637735398537274,-0.04376346628235272,0.08847245578535964,-0.04548320355832319,0.14923929089266086,-0.31883590929307476,0.012575340486583734,-0.00993531177851392,-0.06499065377974689,-0.14689138588981654,-0.11920077419837143,-0.009935311778513993,0.15162627277147875,0.26913479292708076,0.10734644670430162,-0.034552074807459573
pca_var_8,0.055112965702850354,0.05992456538031706,0.2644163339455377,0.23224978977639188,0.05511296570285053,0.08383525473497987,0.0014030161892823328,0.11882240206394093,0.01695993224594028,-0.03595550158336058,-0.018411070720803724,0.0058245655607357845,0.028040651067518407,-0.03595550158336036,0.0472778086011566,0.021524067626274193,0.10100552208458333,-0.02893462694209481,-0.03899724645166962,0.010716045832603407,-0.019504382569558866,0.00879372130687543,-0.03899724645166962,-0.08570942288643128,-0.03288423466587659,-0.08189683550635829,-0.048705674341383655,-0.039350695653001075,-0.01582323344098138,0.0839088463201064,0.11186330902842401,-0.039350695653001075,-0.09311700290063256,0.16902422698162553,0.07737774037045035,-0.020759997563249068,-0.0038152339693500394,0.008534074783839218,-0.07544481574521794,-0.07467700502713713,-0.003815233969350051,-0.060356684151818045,-0.08146063037745033,0.5378461831262117,0.038239298194635195,0.016095693394031732,-0.012448201859372362,-0.2690481835698781,-0.26906416177262116,0.016095693394031656,0.10159440738414283,0.10199565168127583,-0.5089240235645847,0.04800495288178639
pca_var_9,-0.16948234846181043,-0.14714526033715175,-0.15332902015948247,-0.06769992862698176,-0.16948234846181065,0.025619403573752697,0.04483359393940911,0.21846718661720332,-0.1940579435263842,0.0882658319176291,0.1355151195789846,0.09689913079446552,0.020111772997044933,0.08826583191762909,-0.14372367543923864,-0.0005960606024977243,0.3516404633533787,0.0312063746211564,0.1170988281901695,0.03135151650158127,0.16213413665534993,0.07324606911263087,0.1170988281901695,0.014665691828043264,0.22769728561901095,-0.13500929935832293,0.11408610663395483,0.04392822366733718,-0.018586792533520104,-0.05909918033052783,-0.11108986652678114,0.04392822366733722,0.07310886678130853,0.008111774824460242,-0.2990273680545579,0.04715412816751386,0.16257776465368287,-0.032180041248622705,0.015134107162543209,-0.05017344267939767,0.16257776465368282,0.09805033374242161,0.015816806121073806,-0.011995155112882377,0.07306782313924366,-0.17145352697844862,-0.1676783345788889,-0.21338465295302816,0.0008338764843814384,-0.17145352697844862,-0.08525864457067404,-0.24519213544275628,-0.20246309145779917,-0.20606891532944113
pca_var_10,0.0006576373146724695,0.03320858825535367,-0.038057399213193975,-0.04824046405305562,0.0006576373146724599,0.07884430085142594,-0.23919805665825777,-0.012563871649413994,0.06740176791256997,-0.024923629269917705,0.02822272335904391,-0.09859858827668207,-0.1075496365036147,-0.024923629269917737,-0.0719349224530646,-0.05305871576982847,0.025806332921117475,0.034043156122149865,-0.04910482011834079,0.07576016739868645,-0.05856775240674522,-0.057016473310599114,-0.049104820118340387,-0.017517583758038968,-0.03938445072706517,-0.28559887954627344,0.0376494802821985,-0.028265889240939108,0.030784895608589068,-0.29677493381129416,-0.2293421555492007,-0.028265889240939132,-0.08828355745936065,0.32641675531644976,-0.13422049300236127,0.011951030945393184,-0.10684469422123259,-0.028666474213373733,0.15210480414358696,0.23821008226239032,-0.10684469422123258,0.08915094818124461,0.5233034857763113,0.158316273431128,-0.06998546195874629,-0.03280699270458334,-0.015211591532150182,0.14698653798508227,0.17658341407085115,-0.03280699270458337,0.031841933467503775,0.1884064512427096,-0.09052057891372112,-0.029599986937735533
