Unnamed: 0,AccX_mean,AccX_std,AccX_max,AccX_min,AccX_mcr,AccX_peak,AccX_rms,AccX_grad,AccX_grad_1000,AccY_mean,AccY_std,AccY_max,AccY_min,AccY_mcr,AccY_peak,AccY_rms,AccY_grad,AccY_grad_1000,AccZ_mean,AccZ_std,AccZ_max,AccZ_min,AccZ_mcr,AccZ_peak,AccZ_rms,AccZ_grad,AccZ_grad_1000,GyrX_mean,GyrX_std,GyrX_max,GyrX_min,GyrX_mcr,GyrX_peak,GyrX_rms,GyrX_grad,GyrX_grad_1000,GyrY_mean,GyrY_std,GyrY_max,GyrY_min,GyrY_mcr,GyrY_peak,GyrY_rms,GyrY_grad,GyrY_grad_1000,GyrZ_mean,GyrZ_std,GyrZ_max,GyrZ_min,GyrZ_mcr,GyrZ_peak,GyrZ_rms,GyrZ_grad,GyrZ_grad_1000
PC1,-0.09402911327836401,-0.01637175442716554,0.1769978341876323,0.032250541880654016,-0.07143645786544446,0.19980283338230184,-0.04488113703328378,0.03825843576074164,-0.014759454937367399,0.2133613314649856,0.04259394342579972,0.19458423671172428,0.09503513688895646,-0.05718829348531941,0.20411663633786764,-0.04568123765556654,0.05332788491021722,0.10777634603483512,0.2154307057193633,-0.03724245965291794,0.209716855725424,0.028371626383257544,-0.13804873420186145,0.19942133367644146,-0.038893991101962164,0.04292499161210568,-0.13164787780358267,0.2211421582479948,-0.0050005089882724785,0.22703537635051646,0.15688402844923813,-0.17912471620391063,0.21592438633884597,-0.07603984651305332,0.060559482127747394,0.04743755483532,0.22372924746627063,0.009719917665975058,0.1665034027080492,0.13221886732904065,-0.15261256862923175,0.19778558304417285,-0.07446295865429185,0.05141522705497503,-0.0012720975089375738,0.1801632421121914,0.028967710104463716,0.21564918715639608,0.12423510873473823,-0.1046789088182258,0.20956270351845563,-0.07179750694692619,0.04293009541608291,0.020124458703971525,0.20743633580004847
PC2,0.016624116701692563,0.028140611512312532,0.042900499839675456,0.03127333277645372,0.03333200468999509,-0.054614988586503765,-0.1002746881910735,0.275876352546854,0.02980663706196067,0.02193420873328837,0.2556748143204973,-0.038365495380500575,0.21743440840546668,0.2710010715295291,-0.09806044053372623,0.036922726056968426,0.2594758690882926,-0.08488630318388449,-0.0565530805278514,0.3083146804990512,0.002366461435942265,0.3125333259370574,0.2599502635933256,-0.08180094049423413,-0.1240454145458208,0.2746965199023385,0.06813459235384388,-0.04136378203588098,0.03855678231742257,-0.016791505909847827,-0.002023845075131956,0.05999527131538394,-0.07356219601711618,-0.13034292169678077,0.05958584032286577,-0.02074332022399884,-0.042912486627481115,0.1441616882056335,0.11272589640896416,0.1589843533238004,0.013286139337280813,0.029811150713809662,-0.17586102245334984,0.19978179455348893,0.03422634472830137,0.09124074630281712,0.16320257392327048,0.020871397315469553,0.13588086988712117,0.149706274608365,-0.04264305796658896,-0.024548375910466377,0.14035263718816443,0.007040204380438677,-0.011519282829967897
PC3,-0.12258485577826908,0.19855123556540968,-0.06178385092238453,0.1936881950483076,0.18289816440015877,0.10088432951109677,0.2578405657688655,0.018772224058038356,-0.11757856024508753,-0.0030656197310269945,0.2642925906272892,0.0763609515593296,0.2642921954079164,0.22559942609428565,0.09340171077511909,0.2058745315733966,0.19035253882009515,0.15902028703070778,0.055816899520075534,-0.06044777662945044,0.0034610780247135214,-0.07236731258723957,-0.07072178520888582,0.08784378993773491,0.22372640926774823,0.04822173047899092,-0.1630433088069825,0.04840799033923332,0.022783383250199636,-0.020016913523441895,0.0109287447771479,-0.007653383524656506,0.05634563233807836,0.25492212273218906,-0.07732546029904808,0.015552620166980547,0.011149245302895088,-0.05215314668750565,-0.15020378407991206,-0.15133500059709726,0.049898265134752665,-0.07941780781624187,0.28155212123286105,-0.09322250302252824,0.08050874446788699,-0.11690738732434398,0.1718028198285561,-0.059660272145464,0.13637961543177549,0.14618043055101598,0.03358046700061817,0.22082915531969616,0.03258943657798595,-0.004026950476596895,-0.010573842231950898
PC4,-0.17448289909499332,0.41611998883749013,0.07834249346756883,0.4148737919683853,0.39858115993093546,-0.07608625408195208,-0.19039460670375707,0.03227467896645536,0.09932621690647142,0.0099019248159056,-0.11970760969251948,0.005678944839088228,-0.109299430296024,-0.10673303512794065,-0.05547897505135719,-0.20209016033259974,-0.0906360074841861,0.005636254016819806,-0.03164153951675017,-0.020673514419193517,0.03291026749119784,-0.01409606261021507,-0.012781822481944425,-0.035176244339216914,-0.11676187457336476,-0.07183757442795596,0.03922407569538955,-0.00457608610054637,-0.15395565188275814,-0.012668266219140127,-0.11546305929295576,-0.0753552152685176,-0.037003186563569455,-0.08846378434265995,-0.056809433711357916,-0.060298099590858474,-0.010871683016968614,-0.22086319746507777,0.03824965792957451,-0.127036693305078,-0.18161110841206565,0.02254799286466663,-0.07643429899793076,-0.04951198441110419,0.03307724865350798,0.05690153602917503,0.18067919885946646,-0.0007461007710830257,0.1381389773122186,0.16849921040231813,-0.04421780190887957,-0.18875901866515765,0.02837878748917112,0.029740849280138173,-0.03094655280580035
PC5,-0.09691635819329837,-0.07689366322808312,0.07900194807072941,-0.07331546471872823,-0.05405827789063419,-0.12696517544236302,0.058048931488583366,-0.009469735826797804,-0.019807374594369764,0.002990970341717414,0.07148168502259356,-0.03064895881496338,0.0643666512210686,0.1067272727248185,-0.11648156626799708,0.03135536884504311,0.003953853931758246,-0.1143980083371617,-0.0602627222006069,-0.240592572565043,0.03927107398726756,-0.20865477857889417,-0.17570454920730832,-0.05212815532722974,-0.0662691449365028,-0.30270141358676816,-0.004874196054150847,-0.0027047551829492813,0.4215456264838101,0.0022751343234033066,0.2784428624411291,0.2912390275720413,-0.08861160860625263,-0.11972255643164081,-0.09672777147060883,-0.13427244661052717,-0.032893724601104096,-0.08513895948655666,0.18864687853612033,0.06062537158561497,-0.18834655130103867,0.112335961673854,-0.12833449571708727,-0.1103357047099475,0.05480021024666741,0.17110471490526782,0.15464734643934744,-0.011117079875885474,0.11355741493479665,0.18922019708492346,-0.0883172482497229,0.12797736038228272,0.08908154849294828,-0.0908354394678187,-0.0732174028882156
PC6,-0.05353150911830313,-0.15161911579533838,0.07212136224182032,-0.1394151557123827,-0.1432338573624542,-0.026882849769917894,0.03833430166038826,-0.037444945102911964,0.01901787329825949,0.060146908832942034,-0.12034630425723986,-0.07861355486853688,-0.1271732924444543,-0.0798025066856981,-0.04868029354101694,0.09997288057676787,-0.1680655032979435,-0.11652049598570854,-0.05089033522204547,0.0052851770581170705,0.04671558663340591,0.029969358430956487,0.0077087633515867,-0.019203770566446753,0.2595618045943139,-0.03601063540193405,-0.10387417150114409,0.013895516499635158,-0.24968943820473022,-0.016753085945385923,-0.19783753024620035,-0.10159572734706786,-0.04970871078452612,0.19211697871172226,-0.24934631308794553,-0.07337220834047202,-0.03628257936889622,0.18320208355071582,0.15125530352322294,0.21750126406832773,0.020930017316853608,0.06663277357102064,0.16602934969177402,0.10548591566167902,-0.028864162762094848,0.11068249116023822,0.35480041180891997,0.04698606842477103,0.3151405704659496,0.303976286123638,-0.0025867202772281873,-0.06538732511547954,-0.18264493585794297,0.004658332833512551,-0.00595102760822964
PC7,0.12539842545328103,0.1745260501517309,-0.032817234137645035,0.17704021675326,0.17670376210787755,0.01136605363245724,0.2428159145789678,0.018240209126732354,0.08322444496477807,0.024840252313288125,-0.16226073495854992,-0.1890512271976461,-0.19800390235094079,-0.12552373634776653,-0.0038338219345222246,0.32829027013814427,-0.09216154836270166,-0.2563301323130177,-0.06385453481953543,0.1257840710608915,-0.007784468523285222,0.14304471476728156,0.0937202622929886,0.036706817546909735,0.2300489992471422,0.07322803579072816,-0.031687625884017655,0.014936395911546297,0.0832621094137335,0.01895120667596341,0.09172633060434865,0.02502273716823363,0.0177684901605843,0.1838888581152559,0.11208540240285475,0.05099214842478548,0.015737238299411694,-0.03644737021153299,0.2035412115077157,0.08127345864403845,-0.20539976205278127,0.18442226043803164,0.05199829905932102,0.08720006190100205,0.04734537716467965,0.2119277558064404,-0.15842636120194753,0.00881404426934093,-0.1363946002239785,-0.13735205376785128,0.010828420890963848,0.21607033982357382,0.203044756332063,-0.12061080841400544,-0.0007522417566821966
PC8,-0.07437878815963074,-0.10536401021615482,0.22429146971604075,-0.046900532243653856,-0.09840896051162504,-0.03556893321335425,-0.042474647275384136,0.007674107950298853,-0.037881958388816125,0.1002784733458911,0.017772335633186448,0.04788630361678528,0.014476673934981671,0.031369972831236714,-0.07458917133748688,-0.029891838997460507,0.018061826583688045,0.174477022368455,-0.04355505573965415,0.011216801786115733,0.14123348644894412,0.05643156632154839,0.019673450367911176,-0.06922309232111802,0.00607616993350444,0.02235888929524742,-0.3436525478040884,0.018095329652746538,-0.12678841038582572,-0.07336679346006252,-0.16813019950240377,-0.008264173345620202,-0.10543166882468075,-0.056115343510759336,0.0518942262746365,0.05285161078954833,-0.05936465990834326,-0.1405272431080274,0.05230720393888063,-0.10055832166926043,-0.11098643625690816,-0.020050973545594097,0.041841736679721374,0.08492605926699028,0.5313422342632693,0.04999656201384964,-0.10586954930602803,-0.07718613067927395,-0.1538633116911799,-0.03045464817127001,-0.10859352870773771,-0.007560098717947716,-0.0733865443279866,-0.48536729413013574,-0.09735079261119149
